time_B1,time_B2,time_B3,sfYFP_1,sfYFP_2,sfYFP_3,OD600_1,OD600_2,OD600_3,OD600_4,OD600_5,OD600_6
514.7222222222223,514.7222222222223,514.7222222222223,105998.690919,101870.357513,102380.83496000001,0.48899999999999993,0.49599999999999994,0.49099999999999994,0.452,0.4730000000000001,0.463
524.8148148148149,524.8148148148149,524.8148148148149,108364.796319,104790.757113,104010.68866,0.49199999999999994,0.49899999999999994,0.49799999999999994,0.457,0.47500000000000003,0.468
534.9074074074075,534.9074074074075,534.9074074074075,110104.38351900001,106759.627013,106612.79706000001,0.49599999999999994,0.503,0.502,0.458,0.47800000000000004,0.463
545.0,545.0,545.0,113865.887919,110360.530013,101466.64696,0.49799999999999994,0.504,0.504,0.458,0.48100000000000004,0.468
555.0925925925926,555.0925925925926,555.0925925925926,109682.041819,110077.511713,107235.04076,0.49999999999999994,0.504,0.507,0.459,0.48200000000000004,0.471
565.1851851851852,565.1851851851852,565.1851851851852,113028.286819,113948.087213,106806.31766,0.49899999999999994,0.502,0.502,0.459,0.48300000000000004,0.47
575.2777777777778,575.2777777777778,575.2777777777778,112144.133419,110675.278713,110756.88446,0.49799999999999994,0.501,0.501,0.46,0.48599999999999993,0.4730000000000001
585.3703703703704,585.3703703703704,585.3703703703704,116153.289019,110516.137213,112166.86426,0.49699999999999994,0.49899999999999994,0.49799999999999994,0.465,0.48699999999999993,0.47400000000000003
595.462962962963,595.462962962963,595.462962962963,114950.754919,112848.737913,115700.68426000001,0.49399999999999994,0.49699999999999994,0.49399999999999994,0.467,0.48799999999999993,0.47600000000000003
605.5555555555557,605.5555555555557,605.5555555555557,116378.03241900001,113345.796213,115836.43256,0.49399999999999994,0.49699999999999994,0.49199999999999994,0.468,0.48999999999999994,0.47700000000000004
615.6481481481482,615.6481481481482,615.6481481481482,117853.19691900001,108731.375213,117334.70546000001,0.49199999999999994,0.49499999999999994,0.49099999999999994,0.469,0.49499999999999994,0.48200000000000004
625.7407407407408,625.7407407407408,625.7407407407408,119103.638619,111471.066813,118215.68356,0.48999999999999994,0.49299999999999994,0.48899999999999993,0.47400000000000003,0.49499999999999994,0.48200000000000004
635.8333333333334,635.8333333333334,635.8333333333334,121788.892919,111256.514913,117738.72406000001,0.48899999999999993,0.49199999999999994,0.48799999999999993,0.47700000000000004,0.48599999999999993,0.48499999999999993
645.925925925926,645.925925925926,645.925925925926,122946.127019,110177.491913,115089.26936,0.48799999999999993,0.48999999999999994,0.48599999999999993,0.47800000000000004,0.48799999999999993,0.48599999999999993
656.0185185185186,656.0185185185186,656.0185185185186,121318.866219,108996.43591300001,117549.00476000001,0.48599999999999993,0.48899999999999993,0.48400000000000004,0.48100000000000004,0.48799999999999993,0.48799999999999993
666.1111111111112,666.1111111111112,666.1111111111112,124993.23401900001,107279.880413,118044.77366,0.48499999999999993,0.48799999999999993,0.48300000000000004,0.48200000000000004,0.48599999999999993,0.48400000000000004
676.2037037037038,676.2037037037038,676.2037037037038,123288.182919,108939.265013,120806.79156,0.48300000000000004,0.48599999999999993,0.48100000000000004,0.48599999999999993,0.48899999999999993,0.48699999999999993
686.2962962962963,686.2962962962963,686.2962962962963,122920.654819,104044.58511300001,118506.31556,0.48200000000000004,0.48400000000000004,0.48000000000000004,0.48499999999999993,0.49099999999999994,0.48599999999999993
696.3888888888889,696.3888888888889,696.3888888888889,125764.79831900001,106137.508113,115641.30246,0.48000000000000004,0.48300000000000004,0.47800000000000004,0.48699999999999993,0.48599999999999993,0.48599999999999993
706.4814814814815,706.4814814814815,706.4814814814815,124771.113419,102676.160013,116288.32596,0.47900000000000004,0.48200000000000004,0.47700000000000004,0.48400000000000004,0.48499999999999993,0.48300000000000004
716.5740740740741,716.5740740740741,716.5740740740741,128472.199819,105025.766413,116172.60996,0.47700000000000004,0.48000000000000004,0.47500000000000003,0.48599999999999993,0.48400000000000004,0.48400000000000004
